Table 1: Monthly Averages
Date,Avg. Optical Eff.,Avg. Cosine Eff.,Avg. S/B Eff.,Avg. Truncation Eff.,Power per Area (kW/m^2)
1/21,0.5346,0.7199,0.9078,0.9206,0.4663
2/21,0.5624,0.7404,0.9306,0.9192,0.5303
3/21,0.5793,0.7611,0.9348,0.9169,0.5762
4/21,0.5934,0.7793,0.9359,0.9162,0.6107
5/21,0.6019,0.7893,0.9365,0.9170,0.6289
6/21,0.6046,0.7924,0.9367,0.9174,0.6344
7/21,0.6018,0.7892,0.9365,0.9169,0.6287
8/21,0.5929,0.7786,0.9359,0.9162,0.6094
9/21,0.5785,0.7601,0.9348,0.9170,0.5741
10/21,0.5596,0.7378,0.9288,0.9195,0.5233
11/21,0.5317,0.7182,0.9051,0.9206,0.4599
12/21,0.5179,0.7111,0.8903,0.9204,0.4313


Table 2: Annual Averages
Metric,Value
Year Avg Optical Efficiency,0.5716
Year Avg Cosine Efficiency,0.7565
Year Avg Shadow/Block Efficiency,0.9261
Year Avg Truncation Efficiency,0.9182
Year Avg Heat Power (MW),34.9371
Year Avg Power per Area (kW/m^2),0.5561
